country,code,indicator,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Bahamas, The",BHS,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,
"Bahamas, The",BHS,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Bahrain,BHR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,8,8,8,8,8,11,11,11,11,12,15,16,
Bahrain,BHR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,10,8,8,8,7,6,6,6,7,8,8,9,9,10,12,15,
Bahrain,BHR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,11,10,9,9,9,9,8,8,8,8,11,11,11,11,12,13,13,
Bangladesh,BGD,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,
Bangladesh,BGD,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,13,13,13,
Bangladesh,BGD,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,
Barbados,BRB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,10,10,10,10,10,11,12,12,13,15,17,17,18,19,
Barbados,BRB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,11,11,11,9,9,9,9,9,9,9,9,9,10,10,10,11,13,17,17,18,20,
Barbados,BRB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Belarus,BLR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,18,18,18,18,18,18,17,
Belarus,BLR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,17,17,17,17,18,18,18,
Belarus,BLR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,
Belgium,BEL,sp, , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,
Belgium,BEL,mdy, , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,
Belgium,BEL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,6,6,6,6,5,5,5,5,4,4,4,4,4,4,5,5,5,5,6,6,
Belize,BLZ,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,15,16,16,18,21, ,17,17,17,17,18, ,18,18,18,23,18,
Belize,BLZ,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,13,16,20,20,18,18,17,17,17,21,19,19,19,19,17,
Belize,BLZ,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Benin,BEN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,17,17,17,17,17,17,17, , , , , ,
Benin,BEN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Benin,BEN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,17,17,17,17, , , , , , ,
Bermuda,BMU,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,
Bermuda,BMU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,6,6,
Bermuda,BMU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,6,7, , , ,
Bhutan,BTN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Bhutan,BTN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Bhutan,BTN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Bolivia,BOL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,16,16,16,18,18,18,18,18,18,18,17,16,15,15,14,14,14,14,
Bolivia,BOL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,13,
Bolivia,BOL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,18,18,17,16,16,15,15,15,14,15,15,
Bosnia and Herzegovina,BIH,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,18,17,17,17,17,17,17,
Bosnia and Herzegovina,BIH,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,16,16,16,16,16,16,17,17,17,17,17,17,
Bosnia and Herzegovina,BIH,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Botswana,BWA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,
Botswana,BWA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Botswana,BWA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Brazil,BRA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , ,17,16,16,15,15,16,16,15,16,16,15,15,14,13,12,12,12,11,11,11,12,13,14,14,
Brazil,BRA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,16,16,15,13,12,11,11,10,10,9,9,9,9,10,12,12,
Brazil,BRA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,13,12,12,12,11,11,11,11,13,14,14,
British Virgin Islands,VGB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
British Virgin Islands,VGB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
British Virgin Islands,VGB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Brunei Darussalam,BRN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Brunei Darussalam,BRN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Brunei Darussalam,BRN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Bulgaria,BGR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,16,15,14,13,12,11,10,10,11,11,11,11,11,11,13,13,13,12,
Bulgaria,BGR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,12,11,11,10,10,10,10,10,9,9,9,9,9,9,9,
