country,code,indicator,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Egypt,EGY,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,13,13,13,13,13,13,13,13,13,16,18,18,18,18,18,18,
Egypt,EGY,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,11,11,11,11,11,11,11,16,16,18,18,17,17,17,
Egypt,EGY,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,13,13,13,13,13,13,13,13,13,15,16,18,17,17,17,17,
El Salvador,SLV,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,16,16,18,19,
El Salvador,SLV,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,10,10,10,10,10,10,10,11,11,12,13,13,13,13,17,18,
El Salvador,SLV,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,16,16,18,
Equatorial Guinea,GNQ,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Equatorial Guinea,GNQ,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Equatorial Guinea,GNQ,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Eritrea,ERI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Eritrea,ERI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Eritrea,ERI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Estonia,EST,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,9,9,9,8,8,8,8,8,9,8,6,6,6,6,6,6,6,
Estonia,EST,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Estonia,EST,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,10,9,9,9,8,8,8,8,9,10,8,7,7,7,7,7,7,7,
Ethiopia,ETH,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,
Ethiopia,ETH,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,
Ethiopia,ETH,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,
Faroe Islands,FRO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Faroe Islands,FRO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,4,4,4,4,4,4,4,
Faroe Islands,FRO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Fiji,FJI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,17,17,18,18,17,17,17,17,16,16,16,
Fiji,FJI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,13,
Fiji,FJI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Finland,FIN,sp, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,5,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,
Finland,FIN,mdy, , , , , , , , , , , , , , , , , , ,1,1,1,1,2,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,
Finland,FIN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,
France,FRA,sp, , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,5,
France,FRA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,
France,FRA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,
French Polynesia,PYF,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,12, ,
French Polynesia,PYF,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
French Polynesia,PYF,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Gabon,GAB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,16, , ,
Gabon,GAB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,15,17,
Gabon,GAB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,16,16,17,
"Gambia, The",GMB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Gambia, The",GMB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Gambia, The",GMB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Georgia,GEO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,17,17,16,15,15,15,15,15,15,15,
Georgia,GEO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,13,13,12,
Georgia,GEO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,16,16,16,15,15,15,15,15,15,15,
Germany,DEU,sp, , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Germany,DEU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Germany,DEU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Ghana,GHA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,
Ghana,GHA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,16,17,17,17,
Ghana,GHA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,16,16,16,16,16,16,16,16,17,17,17,17,17,
Gibraltar,GIB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Gibraltar,GIB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Gibraltar,GIB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Greece,GRC,sp, , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,11,9,9,8,8,7,8,8,8,8,8,10,13,23,18,18,17,19,18,18,
Greece,GRC,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,5,5,5,5,5,6,11,21,22,20,18,20,20,19,
Greece,GRC,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,11,11,10,9,8,8,7,8,8,8,8,8,10,12,20,20,18,17,20,20,18,
Greenland,GRL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Greenland,GRL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Greenland,GRL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Grenada,GRD,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15, ,18,18,18,18,18,18,18,19, , , , , ,
Grenada,GRD,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Grenada,GRD,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guam,GUM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guam,GUM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guam,GUM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guatemala,GTM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,15,15,15,14,14,14,14,14,14,14,14,14,14,14,15,
Guatemala,GTM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,
Guatemala,GTM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,13,13,13,14,14,14,14,
Guinea,GIN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guinea,GIN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guinea,GIN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guinea-Bissau,GNB,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guinea-Bissau,GNB,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guinea-Bissau,GNB,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guyana,GUY,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guyana,GUY,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Guyana,GUY,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Haiti,HTI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Haiti,HTI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Haiti,HTI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Honduras,HND,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,17,17,17,16,17,17,16,16,15,
Honduras,HND,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,16,15,
Honduras,HND,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Hong Kong SAR, China",HKG,sp, , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,7,8,8,8,7,7,7,7,6,5,5,4,4,2,2,2,2,2,2,2,4,
"Hong Kong SAR, China",HKG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,5,5,5,4,3,3,3,2,2,2,2,2,2,2,3,
"Hong Kong SAR, China",HKG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,
Hungary,HUN,sp, , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,12,12,11,11,9,9,9,9,9,9,10,10,11,12,12,13,14,14,14,13,12,12,
Hungary,HUN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,6,6,7,8,10,11,11,11,11,11,10,10,
Hungary,HUN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,11,11,10,9,9,9,9,9,10,10,10,11,11,12,12,13,13,13,13,12,12,
Iceland,ISL,sp, , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,7,7,7,7,7,7,7,7,7,6,7,7,12,12,12,12,12,12,12,11,10,8,
Iceland,ISL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,1,1,1,1,1,1,8,10,10,10,10,10,10,9,7,7,
Iceland,ISL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,6,7,12,12,13,13,12,11,11,10,10,8,
India,IND,sp, , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,
India,IND,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,
India,IND,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12,12,12,
Indonesia,IDN,sp, , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,11,11,13,19,19,18,20,19,17,16,16,15,15,15,15,14,13,13,13,13,13,13,12,
Indonesia,IDN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,16,16,16,15,13,13,12,12,11,10,10,10,10,10,10,
Indonesia,IDN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,18,18,18,18,17,16,16,15,15,15,14,14,13,12,12,12,12,12,12,11,
"Iran, Islamic Rep.",IRN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Iran, Islamic Rep.",IRN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Iran, Islamic Rep.",IRN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,16, , , , , , , , , , ,
Iraq,IRQ,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,
Iraq,IRQ,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,
Iraq,IRQ,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,
Ireland,IRL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,5,8,10,10,10,8,7,7,7,
Ireland,IRL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,2,8,11,11,11,8,8,7,6,
Ireland,IRL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,6,10,10,10,10,9,9,8,7,
Isle of Man,IMN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,4,4,4, , , , ,
Isle of Man,IMN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,
Isle of Man,IMN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Israel,ISR,sp, , , , , , , , , , , , , , , , , , , , , , , , ,12,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,
Israel,ISR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,
Israel,ISR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,
Italy,ITA,sp, , , , , , , , , , , , , , , , , , , , , , , , ,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,8,11,11,12,12,12,11,
Italy,ITA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,3,3,3,3,3,3,6,9,9,9,9,9,9,
Italy,ITA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,6,6,6,6,6,6,5,5,5,5,6,6,6,6,6,7,9,10,10,10,10,11,
Jamaica,JAM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,16,16,17,17,17,17,17,17,20,18,18,18,18,18,17,17,17,
Jamaica,JAM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,15,15,15,15,15,15,18,17,17,17,20,20,19,17,17,
Jamaica,JAM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,17,20,18,18,18,20,18,18,17,17,
Japan,JPN,sp, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,6,6,6,6,6,5,5,5,5,6,6,6,6,7,7,7,
Japan,JPN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,1,1,1,1,3,3,4,4,4,5,5,5,5,
Japan,JPN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,7,7,7,8,8,8,
Jordan,JOR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,
Jordan,JOR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,
Jordan,JOR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Kazakhstan,KAZ,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,16,16,15,14,14,13,12,12,11,12,12,12,11,10,10,10,10,11,12,12,
Kazakhstan,KAZ,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,10,10,10,10,9,9,9,9,9,9,9,9,9,9,10,10,
Kazakhstan,KAZ,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,14,15,15,14,13,13,12,11,11,11,12,12,12,11,10,10,10,10,11,11,
Kenya,KEN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,17,17,16,16,16,16,16,16,16,16,
Kenya,KEN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,
Kenya,KEN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,16,16,16,16,16,16,
Kiribati,KIR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Kiribati,KIR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Kiribati,KIR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Korea, Dem. People’s Rep.",PRK,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Korea, Dem. People’s Rep.",PRK,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Korea, Dem. People’s Rep.",PRK,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Korea, Rep.",KOR,sp, , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,6,6,16,13,11,11,10,9,9,9,8,8,8,8,8,8,8,7,7,7,6,5,5,
"Korea, Rep.",KOR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,9,9,9,7,7,7,7,7,6,6,6,5,5,4,4,4,3,3,3,
"Korea, Rep.",KOR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,18,13,11,10,10,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,
Kosovo,XKX,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Kosovo,XKX,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Kosovo,XKX,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Kuwait,KWT,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,5,
Kuwait,KWT,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,6,6,6,6,4,3,3,3,3,3,3,3,3,3,3,3,
Kuwait,KWT,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,
Kyrgyz Republic,KGZ,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, , ,
Kyrgyz Republic,KGZ,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,
Kyrgyz Republic,KGZ,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lao PDR,LAO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lao PDR,LAO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lao PDR,LAO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Latvia,LVA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,10,10,9,9,9,10,12,14,13,13,11,10,9,9,9,9,
Latvia,LVA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,6,6,6,6,6,6,7,10,10,10,10,9,8,7,7,7,
Latvia,LVA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,10,9,9,9,10,12,13,13,12,11,10,9,9,9,9,
Lebanon,LBN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,16,17,18,18,18,18,18,18,18,17,17,17,17,18,18,18,18,18,
Lebanon,LBN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,17,17,17,17,16,15,15,15,15,16,16,16,17,
Lebanon,LBN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,15,15,15,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,18,18,
Lesotho,LSO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lesotho,LSO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lesotho,LSO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,15,15,15,15,15,15,15,15,15,15,15,15,16,16,
Liberia,LBR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Liberia,LBR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Liberia,LBR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Libya,LBY,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9, , , , , , , ,
Libya,LBY,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Libya,LBY,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10, , , , , , , ,
Liechtenstein,LIE,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Liechtenstein,LIE,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Liechtenstein,LIE,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lithuania,LTU,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,11,10,9,8,8,8,10,11,11,11,11,11,9,9,9,9,
Lithuania,LTU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,8,7,7,7,6,6,6,8,8,8,8,8,8,7,7,7,
Lithuania,LTU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,12,11,11,9,9,8,8,10,11,11,11,11,10,9,9,9,9,
Luxembourg,LUX,sp, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Luxembourg,LUX,mdy, , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Luxembourg,LUX,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"Macao SAR, China",MAC,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Macao SAR, China",MAC,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,
"Macao SAR, China",MAC,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,
"Macedonia, FYR",MKD,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,12,12,14,14,14,14,15,15,15,15,15,
